E	dosup	dosdw	Int
-46.99	7.17E-85	7.17E-85	4.33E-84
-46.98	7.17E-85	7.17E-85	4.35E-84
-46.97	7.17E-85	7.17E-85	4.36E-84
-46.96	7.17E-85	7.17E-85	4.38E-84
-46.95	7.17E-85	7.17E-85	4.39E-84
-46.94	7.17E-85	7.17E-85	4.40E-84
-46.93	7.17E-85	7.17E-85	4.42E-84
-46.92	7.17E-85	7.17E-85	4.43E-84
-46.91	7.17E-85	7.17E-85	4.45E-84
-46.9	7.17E-85	7.17E-85	4.46E-84
-46.89	7.17E-85	7.17E-85	4.48E-84
-46.88	7.17E-85	7.17E-85	4.49E-84
-46.87	7.17E-85	7.17E-85	4.51E-84
-46.86	7.17E-85	7.17E-85	4.52E-84
-46.85	7.17E-85	7.17E-85	4.53E-84
-46.84	7.17E-85	7.17E-85	4.55E-84
-46.83	7.17E-85	7.17E-85	4.56E-84
-46.82	7.17E-85	7.17E-85	4.58E-84
-46.81	7.17E-85	7.17E-85	4.59E-84
-46.8	7.17E-85	7.17E-85	4.61E-84
-46.79	7.17E-85	7.17E-85	4.62E-84
-46.78	7.17E-85	7.17E-85	4.63E-84
-46.77	7.17E-85	7.17E-85	4.65E-84
-46.76	7.17E-85	7.17E-85	4.66E-84
-46.75	7.17E-85	7.17E-85	4.68E-84
-46.74	7.17E-85	7.17E-85	4.69E-84
-46.73	7.17E-85	7.17E-85	4.71E-84
-46.72	7.17E-85	7.17E-85	4.72E-84
-46.71	7.17E-85	7.17E-85	4.73E-84
-46.7	7.17E-85	7.17E-85	4.75E-84
-46.69	7.17E-85	7.17E-85	4.76E-84
-46.68	7.17E-85	7.17E-85	4.78E-84
-46.67	7.17E-85	7.17E-85	4.79E-84
-46.66	7.17E-85	7.17E-85	4.81E-84
-46.65	7.17E-85	7.17E-85	4.82E-84
-46.64	7.17E-85	7.17E-85	4.84E-84
-46.63	7.17E-85	7.17E-85	4.85E-84
-46.62	7.17E-85	7.17E-85	4.86E-84
-46.61	7.17E-85	7.17E-85	4.88E-84
-46.6	7.17E-85	7.17E-85	4.89E-84
-46.59	7.17E-85	7.17E-85	4.91E-84
-46.58	7.17E-85	7.17E-85	4.92E-84
-46.57	7.17E-85	7.17E-85	4.94E-84
-46.56	7.17E-85	7.17E-85	4.95E-84
-46.55	7.17E-85	7.17E-85	4.96E-84
-46.54	7.17E-85	7.17E-85	4.98E-84
-46.53	7.17E-85	7.17E-85	4.99E-84
-46.52	7.17E-85	7.17E-85	5.01E-84
-46.51	7.17E-85	7.17E-85	5.02E-84
-46.5	7.17E-85	7.17E-85	5.04E-84
-46.49	7.17E-85	7.17E-85	5.05E-84
-46.48	7.17E-85	7.17E-85	5.06E-84
-46.47	7.17E-85	7.17E-85	5.08E-84
-46.46	7.17E-85	7.17E-85	5.09E-84
-46.45	7.17E-85	7.17E-85	5.11E-84
-46.44	7.17E-85	7.17E-85	5.12E-84
-46.43	7.17E-85	7.17E-85	5.14E-84
-46.42	7.17E-85	7.17E-85	5.15E-84
-46.41	7.17E-85	7.17E-85	5.17E-84
-46.4	7.17E-85	7.17E-85	5.18E-84
-46.39	7.17E-85	7.17E-85	5.19E-84
