E	(eV)	dos(E)	Int	dos(E)	EFermi	=	12.52	eV
-44.02	3.23E-84	1.93E-83						
-44.01	3.23E-84	1.94E-83						
-44	3.23E-84	1.94E-83						
-43.99	3.23E-84	1.94E-83						
-43.98	3.23E-84	1.95E-83						
-43.97	3.23E-84	1.95E-83						
-43.96	3.23E-84	1.95E-83						
-43.95	3.23E-84	1.95E-83						
-43.94	3.23E-84	1.96E-83						
-43.93	3.23E-84	1.96E-83						
-43.92	3.23E-84	1.96E-83						
-43.91	3.23E-84	1.97E-83						
-43.9	3.23E-84	1.97E-83						
-43.89	3.23E-84	1.97E-83						
-43.88	3.23E-84	1.98E-83						
-43.87	3.23E-84	1.98E-83						
-43.86	3.23E-84	1.98E-83						
-43.85	3.23E-84	1.99E-83						
-43.84	3.23E-84	1.99E-83						
-43.83	3.23E-84	1.99E-83						
-43.82	3.23E-84	2.00E-83						
-43.81	3.23E-84	2.00E-83						
-43.8	3.23E-84	2.00E-83						
-43.79	3.23E-84	2.01E-83						
-43.78	3.23E-84	2.01E-83						
-43.77	3.23E-84	2.01E-83						
-43.76	3.23E-84	2.02E-83						
-43.75	3.23E-84	2.02E-83						
-43.74	3.23E-84	2.02E-83						
-43.73	3.23E-84	2.03E-83						
-43.72	3.23E-84	2.03E-83						
-43.71	3.23E-84	2.03E-83						
-43.7	3.23E-84	2.04E-83						
-43.69	3.23E-84	2.04E-83						
-43.68	3.23E-84	2.04E-83						
-43.67	3.23E-84	2.05E-83						
-43.66	3.23E-84	2.05E-83						
-43.65	3.23E-84	2.05E-83						
-43.64	3.23E-84	2.05E-83						
-43.63	3.23E-84	2.06E-83						
-43.62	3.23E-84	2.06E-83						
-43.61	3.23E-84	2.06E-83						
-43.6	3.23E-84	2.07E-83						
-43.59	3.23E-84	2.07E-83						
-43.58	3.23E-84	2.07E-83						
-43.57	3.23E-84	2.08E-83						
-43.56	3.23E-84	2.08E-83						
-43.55	3.23E-84	2.08E-83						
-43.54	3.23E-84	2.09E-83						
-43.53	3.23E-84	2.09E-83						
-43.52	3.23E-84	2.09E-83						
-43.51	3.23E-84	2.10E-83						
-43.5	3.23E-84	2.10E-83						
-43.49	3.23E-84	2.10E-83						
-43.48	3.23E-84	2.11E-83						
-43.47	3.23E-84	2.11E-83						
-43.46	3.23E-84	2.11E-83						
-43.45	3.23E-84	2.12E-83						
-43.44	3.23E-84	2.12E-83						
-43.43	3.23E-84	2.12E-83						
-43.42	3.23E-84	2.13E-83						
-43.41	3.23E-84	2.13E-83						
-43.4	3.23E-84	2.13E-83						
-43.39	3.23E-84	2.14E-83						
-43.38	3.23E-84	2.14E-83						
-43.37	3.23E-84	2.14E-83						
-43.36	3.23E-84	2.15E-83						
-43.35	3.23E-84	2.15E-83						
-43.34	3.23E-84	2.15E-83						
-43.33	3.23E-84	2.15E-83						
-43.32	3.23E-84	2.16E-83						
-43.31	3.23E-84	2.16E-83						
-43.3	3.23E-84	2.16E-83						
-43.29	3.23E-84	2.17E-83						
-43.28	3.23E-84	2.17E-83						
-43.27	3.23E-84	2.17E-83						
-43.26	3.23E-84	2.18E-83						
-43.25	3.23E-84	2.18E-83						
-43.24	3.23E-84	2.18E-83						
-43.23	3.23E-84	2.19E-83						
-43.22	3.23E-84	2.19E-83						
-43.21	3.23E-84	2.19E-83						
-43.2	3.23E-84	2.20E-83						
-43.19	3.23E-84	2.20E-83						
-43.18	3.23E-84	2.20E-83						
-43.17	3.23E-84	2.21E-83						
-43.16	3.23E-84	2.21E-83						
-43.15	3.23E-84	2.21E-83						
-43.14	3.23E-84	2.22E-83						
-43.13	3.23E-84	2.22E-83						
-43.12	3.23E-84	2.22E-83						
-43.11	3.23E-84	2.23E-83						
-43.1	3.23E-84	2.23E-83						
-43.09	3.23E-84	2.23E-83						
-43.08	3.23E-84	2.24E-83						
